facet_id,raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,is_header_like,retrieval_enabled,scoring_definition,abstention_reason
1,Risktaking,risktaking,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
2,Naivety,naivety,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
3,Acidity,acidity,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
4,Democratic Leadership:,democratic leadership,header_or_malformed,not_observable,low,True,False,,Header-like or malformed catalogue entry; excluded from retrieval and scoring.
5,Common-sense,common-sense,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
6,Hesitation,hesitation,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
7,Discontentment,discontentment,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
8,Overprotectiveness,overprotectiveness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
9,Merriness,merriness,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
10,Emotionalism,emotionalism,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
11,Self-improvement,self-improvement,behavioral_or_personality,conditional,low,False,True,Use a 1-5 ordinal scale based on direct conversational evidence. Do not infer stable traits from isolated statements.,"Score only when the conversation provides direct, specific evidence about the speaker."
